Learning_Rate,Other_Learning_Rate,Batch_Size,Total_Epoch,Iterasi,Total_Step,Dropout,Epoch ke-,Step ke-,Loss,Accuracy,Micro_F-1,Macro_F-1,Precision,,,,,,Recall,,,,,,F-1_Score,,,,,,,Eksekusi_Time,Processor
,,,,,,,,,,,,,Cause Of Desease,Treatment Of Desease,Negative,Association,Macro Avg,Weighted Avg,Cause Of Desease,Treatment Of Desease,Negative,Association,Macro Avg,Weighted Avg,Cause Of Desease,Treatment Of Desease,Negative,Association,Accuracy,Macro Avg,Weighted Avg,,
"0,00001","0,0001",64,1000,1,1000,"0,0",111,111,"1,932451","0,7273","0,7273","0,7500","0,75","0,60","1,00","1,00","0,84","0,80","0,75","1,00","0,33","1,00","0,77","0,73","0,75","0,75","0,50","1,00","0,73","0,75","0,70",25 m 12 d,Tesla T4
"0,00001","0,0001",32,1000,2,2000,"0,0",139,278,"1,728832","0,7273","0,7273","0,7500","0,75","0,60","1,00","1,00","0,84","0,80","0,75","1,00","0,33","1,00","0,77","0,73","0,75","0,75","0,50","1,00","0,73","0,75","0,70",27 m 19 d,Tesla T4
"0,00001","0,0001",16,1000,3,3000,"0,0",47,142,"2,305177","0,5455","0,5455","0,6114","0,43","0,50","1,00","1,00","0,73","0,66","0,75","0,33","0,33","1,00","0,60","0,55","0,55","0,40","0,50","1,00","0,55","0,61","0,53",31 m 23 d,Tesla T4
"0,00001","0,0001",8,1000,6,6000,"0,0",335,2011,"4,038171","0,6364","0,6364","0,6804","0,75","0,50","0,50","1,00","0,69","0,64","0,75","0,67","0,33","1,00","0,69","0,64","0,75","0,57","0,40","1,00","0,64","0,68","0,63",54 m 30 d,Tesla T4
"0,00001","0,0001",4,1000,12,12000,"0,0",19,232,"4,805952","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",1 j 11 m  25 d,Tesla T4
"0,00001","0,0001",2,1000,23,23000,"0,0",544,12524,"7,582608","0,5455","0,5455","0,6310","0,67","0,25","0,67","1,00","0,65","0,58","0,50","0,33","0,67","1,00","0,62","0,55","0,57","0,29","0,67","1,00","0,55","0,63","0,56",2 j 30 m 16 d,Tesla T4
"0,00001","0,0001",64,1000,1,1000,"0,1",488,488,"1,819899","0,7273","0,7273","0,7738","1,00","0,50","0,67","1,00","0,79","0,77","0,75","0,67","0,67","1,00","0,77","0,73","0,86","0,57","0,67","1,00","0,73","0,77","0,74",24 m 48 d,Tesla T4
"0,00001","0,0001",32,1000,2,2000,"0,1",610,1220,"2,508159","0,7273","0,7273","0,7560","1,00","0,50","1,00","1,00","0,80","0,80","0,75","1,00","0,33","1,00","0,77","0,73","0,86","0,67","0,50","1,00","0,73","0,76","0,72",31 m 10 d,Tesla T4
"0,00001","0,0001",16,1000,3,3000,"0,1",892,2676,"3,688435","0,6364","0,6364","0,6917","0,50","0,67","1,00","1,00","0,79","0,73","0,75","0,67","0,33","1,00","0,69","0,64","0,60","0,67","0,50","1,00","0,64","0,69","0,63",33 m 23 d,Tesla T4
"0,00001","0,0001",8,1000,6,6000,"0,1",19,117,"2,248205","0,6364","0,6364","0,6845","0,60","0,50","1,00","1,00","0,78","0,72","0,75","0,67","0,33","1,00","0,69","0,64","0,67","0,57","0,50","1,00","0,64","0,68","0,63",52 m 47 d,Tesla T4
"0,00001","0,0001",4,1000,12,12000,"0,1",430,5164,"5,533478","0,5455","0,5455","0,6179","0,50","0,50","0,50","1,00","0,62","0,55","0,50","0,67","0,33","1,00","0,62","0,55","0,50","0,57","0,40","1,00","0,55","0,62","0,54",1 j 13 m 11 d,Tesla T4
"0,00001","0,0001",2,1000,23,23000,"0,1",17,407,"12,042981","0,5455","0,5455","0,6083","0,50","0,33","1,00","1,00","0,71","0,64","0,75","0,33","0,33","1,00","0,60","0,55","0,60","0,33","0,50","1,00","0,55","0,61","0,54",2 j 8 m 28 d,Tesla T4
"0,00001","0,0001",64,1000,1,1000,"0,8",282,282,"1,827324","0,7273","0,7273","0,7560","0,60","0,75","1,00","1,00","0,84","0,79","0,75","1,00","0,33","1,00","0,77","0,76","0,67","0,86","0,50","1,00","0,73","0,76","0,70",25 m 14 d,Tesla T4
"0,00001","0,0001",32,1000,2,2000,"0,8",393,786,"2,947872","0,6364","0,6364","0,6917","0,50","0,67","1,00","1,00","0,79","0,73","0,75","0,67","0,33","1,00","0,69","0,64","0,60","0,67","0,50","1,00","0,64","0,69","0,63",30 m 56 d,Tesla T4
"0,00001","0,0001",16,1000,3,3000,"0,8",71,214,"1,600874","0,7273","0,7273","0,7500","0,75","0,60","1,00","1,00","0,84","0,80","0,75","1,00","0,33","1,00","0,77","0,73","0,75","0,75","0,50","1,00","0,73","0,75","0,70",35 m 54 d,Tesla T4
"0,00001","0,0001",8,1000,6,6000,"0,8",75,455,"2,684323","0,6364","0,6364","0,6845","0,60","0,50","1,00","1,00","0,78","0,72","0,75","0,67","0,33","1,00","0,69","0,64","0,67","0,57","0,50","1,00","0,64","0,68","0,63",54 m 15 d,Tesla T4
"0,00001","0,0001",4,1000,12,12000,"0,8",518,6227,"4,952059","0,5455","0,5455","0,6250","1,00","0,33","0,40","1,00","0,68","0,65","0,50","0,33","0,67","1,00","0,62","0,55","0,67","0,33","0,50","1,00","0,55","0,62","0,56",1 j 11 m 28 d,Tesla T4
"0,00001","0,0001",2,1000,23,23000,"0,8",735,16.917,9.672.649,"0,5455","0,5455","0,6190","1,00","0,25","0,33","1,00","0,65","0,61","0,75","0,33","0,33","1,00","0,60","0,55","0,86","0,29","0,33","1,00","0,55","0,62","0,57",2 j 30 m 39 d,Tesla T4